"subjectID" "ActivityID" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z"
"1" 1 5 "STANDING" 0.00226869044134375 -0.00165537132054687 -0.00812555056015625 0.00295258510631258 0.00461877806075168 0.0185770724394662 0.0222503515984375 0.0194027690614844 0.00946815436515625 0.01449080464396 0.0199062773666703 0.0059665908392478
"2" 1 5 "STANDING" 0.00017373955275 0.000381628339609375 -0.0050253200125 0.00198870084200492 0.00595302469223956 0.0101615033263852 0.01192575516875 -0.00431374181507813 0.0063075711740625 0.0163981463261374 0.0103967541777933 0.00745988550464917
"3" 1 5 "STANDING" 0.000428091215703125 -0.00122159141171875 -0.00170259293828125 0.00291978259971281 0.00733900356673783 0.00681258464905976 -0.0041495421875 -0.01264002699375 0.00433476421023437 0.0223438833650337 0.00694731569945926 0.00878780948536103
"4" 1 5 "STANDING" 0.000329352312734375 -0.004753393611875 -0.00494682587421875 0.00268847250825454 0.00456888005691207 0.00470289202984011 -0.0162283777617187 -0.00769651570234375 -0.000351901151796875 0.00920106160771205 0.00782344891360551 0.00821864830198966
"5" 1 5 "STANDING" -0.00019515715203125 0.00029818547171875 -0.00233029287640625 0.00202335450628415 0.00501054864459402 0.00473768431221371 -0.00648257872109375 -0.0001664355296875 -0.003957091590625 0.0146011367177878 0.00784580044748642 0.00829240776497757
"6" 1 5 "STANDING" -7.7691765703125e-05 0.00369273010984375 0.001047306393125 0.00228446639116421 0.00335870403411663 0.00384957780691859 -0.00113513005390625 0.00178172668203125 -0.00324004854921875 0.0146035507333714 0.00804532919118796 0.010386615433926
"7" 1 5 "STANDING" 0.000387043396015625 -0.00131265738859375 -0.00056637150859375 0.00241895037246952 0.00733918685209014 0.00606196834605051 -0.000954378540625 -0.0039313067640625 0.0040416269709375 0.0119942367283265 0.0102743395532803 0.0122861035509838
"8" 1 5 "STANDING" -2.9529718359375e-05 -0.00700232457460937 -0.0056332259484375 0.00253649366632175 0.00741734240750933 0.00633756871740441 0.00358354369921875 -0.0016042518234375 0.0034357441303125 0.0111843831315222 0.0116541587175895 0.0125931992880315
"9" 1 5 "STANDING" -5.81850862421875e-05 -0.00241933872695312 -0.00411048711195313 0.00228657441037499 0.00835402079295387 0.00596238612824911 0.00293300780734375 0.00358385005296875 -0.00374865520546875 0.00963891472727825 0.00745291846214968 0.00837004044224953
"10" 1 5 "STANDING" 0.000620286665710937 0.00376487770234375 0.000740780348203125 0.00310696503075431 0.00638724412409942 0.00549979070311306 0.00439301099303125 0.001541271894375 -0.0032561141890625 0.0148151151440131 0.0117303093414301 0.0114676916159783
